Gold,Silver,Bronze
1131,901,792
471,373,353
321,345,341
289,321,312
265,287,334
256,225,241
239,184,172
202,183,199
200,215,242
192,165,162
178,156,176
170,159,148
153,170,196
152,151,179
146,148,177
126,160,189
125,135,149
116,102,99
108,122,116
88,95,121
85,118,123
77,67,70
75,94,141
67,82,94
54,44,37
52,88,83
51,58,62
49,82,82
47,28,44
45,60,66
45,63,42
42,57,52
40,27,28
37,33,63
31,38,31
30,36,62
26,32,29
25,33,30
22,26,30
22,32,22
22,9,22
21,25,28
20,25,32
19,32,48
18,21,29
16,16,24
15,16,13
13,11,17
13,24,30
11,13,9
10,7,17
10,7,12
9,11,13
9,8,13
8,6,18
7,8,12
7,12,25
7,12,11
7,12,19
6,5,12
6,6,13
6,2,6
5,4,8
5,9,14
4,4,0
4,8,12
3,2,2
3,8,13
3,3,4
3,6,6
3,15,8
3,4,1
3,3,7
3,7,14
3,5,11
3,4,5
3,1,1
2,5,9
2,10,14
2,2,5
2,7,4
2,3,2
2,2,6
2,4,3
2,3,10
1,1,7
1,1,2
1,0,1
1,0,1
1,1,1
1,1,1
1,1,2
1,0,0
1,1,1
1,1,0
1,1,1
1,1,0
1,1,3
1,1,1
1,1,0
1,0,0
1,0,0
1,2,6
1,0,1
1,3,0
1,2,2
1,0,0
1,0,2
1,3,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,1,3
0,1,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,1
0,2,2
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,0
0,0,2
0,0,0
0,0,0
0,0,0
0,1,6
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,1,2
0,3,7
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,1
0,4,0
0,0,0
0,0,0
0,0,0
0,1,1
0,0,0
0,1,0
0,0,1
0,0,0
0,1,2
0,0,2
0,0,0
0,2,2
0,0,0
0,0,0
0,7,4
0,0,0
0,0,0
0,2,5
0,0,0
0,0,0
0,2,0
0,0,0
0,0,0
0,0,0
0,2,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,1,0
0,0,0
0,0,0
0,1,4
0,0,0
0,0,0
0,1,1
0,0,0
0,1,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,0
0,0,0
0,0,0
0,1,1
